Funds,"Factsheet / Offering Material 
(via Fundinfo)","Fund Specific Materials 
(via Intranet) ",Fund Watch List,Base Ccy,Last Bloomberg Update,1 Mth Return (%),3 Mths Return (%),YTD Return (%),1 Yr Return (%),3 Yr Ann Return (%),5 Yr Ann Return (%),"3 Yr Ann Std Dev 
(%)",Inception Date,ISIN (base ccy),BB Ticker (base ccy),Other share classes available,Use of Derivatives (as a principal driver),Is this a High Yield Bond Fund (Yes/No),Risk Rating ,AR*,SG MAS Registered,SG Restricted,HK SFC Authorization,UK Registered,Offering In DIFC Allowed?*,UCITS,"Fund House Max Sales Charge
BOS Fee Schedule applies - Min USD375 Max up to 2% upfront fee",Investment Objective,Investment Tenor,Investment Time Horizon,"Dealing Frequency (Subscription)

Refer to Funds Identifier tab for Notice Period","Dealing Frequency (Redemption)

Refer to Funds Identifier tab for Notice Period",Loss Absorption Product,Complex Product,Remarks,
Fidelity Funds - ASEAN A-USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0048573645,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Fidelity/Fidelity%20ASEAN%20Fund,No,USD,10/10/19,-2.8,-6.69,6.24,10.87,5.66,1.1,11.55,10/1/90,LU0048573645,FIDLAEI LX EQUITY,"USD Dis (Ann) , SGD Dis (Ann) , SGD Dis (Ann)",No,No,4,50%,Yes,"Retail
(Recognized)",SFC Authorized,No,Yes,Yes,5.25%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - China (Non-A Share),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Baring Hong Kong China A USD Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B7JY6H00,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Barings/Baring%20Hong%20Kong%20China%20Fund,No,USD,10/10/19,-2.24,-2.27,11.57,13.64,7.14,5.82,17.87,4/2/12,IE00B7JY6H00,BHKCAUA ID Equity,"USD Dis (Ann) , USD Acc , EUR Dis (Ann) , GBP Dis (Ann) , HKD Dis (Ann)",No,No,4,40%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,6.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
First State China Growth I Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE0008368742,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/First%20State/First%20State%20China%20Growth%20Fund,No,USD,10/10/19,-1.47,-1.71,17.19,16.68,12.36,6.77,16.97,8/17/1999,IE0008368742,CRECHOI ID EQUITY,USD Acc  ,No,No,4,50%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
UBS (Lux) Equity Fund - China Opportunity ,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0067412154,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/UBS/UBS%20(Lux)%20Investment%20SICAV%20-%20China%20A%20Opportunity,No,USD,10/10/19,-0.38,-0.51,26.74,30.21,16.2,13.34,18.22,11/15/1996,LU0067412154,SBCEHKI LX EQUITY,"USD Acc , USD Dis  (Mth) , AUD Acc  (H) , AUD Dis  (Mth) (H) , HKD Acc , HKD Dis  (Mth) , CNH Acc  (H) , SGD Acc  ",No,No,4,55%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,3.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - China A Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
JPMorgan China Pioneer A Share Fund,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=HK0000055621,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/JP%20Morgan/JP%20Morgan%20China%20Pioneer%20A%20Share%20Fund,No,USD,10/9/19,-0.49,2.22,37.41,32.48,10.36,12.61,20.26,6/19/2006,HK0000055621,JFCHPNA HK EQUITY,USD Acc  ,No,No,4,35%,Yes,Restricted,SFC Authorized,No,Yes,No,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,No trailers are paid, 
Schroder China Equity Alpha Fund A Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=HK0000138559,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Schroder/China%20Equity%20Alpha%20Fund,No,USD,10/9/19,-4.09,-1.23,25,20.46,8.01,13.98,18.7,3/8/13,HK0000138559,SCCHEAA HK EQUITY,"USD Acc , HKD Acc  ",No,No,4,50%,Yes,Restricted,SFC Authorized,No,Yes,No,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
UBS (Lux) Investment SICAV - China A Opportunity (USD) - P-acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0971614614,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/UBS/UBS%20(Lux)%20Investment%20SICAV%20-%20China%20A%20Opportunity,No,USD,10/10/19,0.85,0.86,43.38,37.81,23.79,22.24,21.98,11/29/2013,LU0971614614,UBCAPA2 LX EQUITY,No,No,No,4,45%,Yes,Restricted,SFC Unauthorized,No,Yes,No,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - Greater China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Invesco Greater China Equity A Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0048816135,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Invesco/Invesco%20Greater%20China%20Equity%20Fund,No,USD,10/10/19,-2.85,-2.51,11.96,7.01,7.38,6.24,15.49,7/15/1992,LU0048816135,INVPGCI LX EQUITY,"USD Acc , EUR Acc  (H) , EUR Dis (Ann)(H) , EUR Dis (Ann) , AUD Acc  (H) , NZD Acc  (H) , CHF Acc  (H)",No,No,4,0%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Aberdeen Standard - Indian Equity A2 Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0231490524,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Aberdeen/Aberdeen%20Global%20-%20Indian%20Equity%20Fund,Yes,USD,10/10/19,1.18,-4.36,-0.67,11.86,4.15,4.5,16.41,11/15/1996,LU0231490524,AGINDA2 LX EQUITY,"USD Acc , GBP Acc , EUR Acc , SGD Acc  ",No,No,4,50%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,6.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Goldman Sachs India Equity Pf Base Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0333810181,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Goldman%20Sachs/Goldman%20Sachs%20India%20Equity%20Fund,No,USD,10/10/19,3.63,-3.24,-0.05,12.71,2.9,5.66,17.48,3/26/2008,LU0333810181,GSINDAA LX Equity,"USD Acc , USD Dis (Ann) , GBP Dis (Ann)",No,No,4,50%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.50%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Kotak Funds � India Midcap Class A,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0511423146,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Kotak/Kotak%20India%20Midcap,No,USD,10/10/19,2.28,-5.93,-5.61,8.66,0.32,6.96,18.39,5/25/2010,LU0511423146,KOTIMAU LX Equity,USD Acc,No,No,4,40%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,
Equity - Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Schroder ISF Taiwanese Equity A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0270814014,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Schroder/ISF%20Taiwanese%20Equity%20Fund,No,USD,10/9/19,0.59,2.38,17.11,19.27,8.72,7.61,13.34,1/18/2008,LU0270814014,SCHTWAA LX EQUITY,"USD Acc , USD Dis (Ann)",No,No,4,0%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Aberdeen Standard Thailand Equity Fund SGD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999000483,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Aberdeen/Aberdeen%20Thailand%20Equity%20Fund,Yes,SGD,10/9/19,-4.27,-7.15,9.66,0.87,8.41,3,11.29,12/8/97,SG9999000483,ABTHAII SP Equity,"USD Acc , SGD Acc  ",No,No,4,0%,Yes,"Retail
(Authorized)",SFC Unauthorized,No,Yes,No,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,Yes,, 
Equity - Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
LionGlobal Singapore Dividend Equity SGD Class,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999013460,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Lion/LionGlobal%20Singapore%20Dividend%20Equity%20Fund,No,SGD,10/9/19,-2.82,-4.71,7.23,5.77,7.14,N/A,13.04,6/2/15,SG9999013460,LNWSSGD SP EQUITY,"SGD Dis  (Qter) , SGD Dis  (Qter) , USD Dis  (Qter) , USD Dis  (Qter) , USD Dis  (Qter) (H) , USD Dis  (Qter) (H)",No,No,3,60%,Yes,"Retail
(Authorized)",SFC Unauthorized,No,Yes,No,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,Yes,, 
Equity - Emerging Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Equity - BRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Schroder ISF BRIC A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0228659784,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Schroder/ISF%20BRIC%20Fund,No,USD,10/10/19,-2.4,-4.49,13.84,15.13,10.42,6.04,15.42,10/31/2005,LU0228659784,SCHBRAA LX EQUITY,"USD Acc , EUR Acc , SGD Acc  ",No,No,4,50%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity Global Emerging Markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
"Stewart Investors Global Em Mkts Leaders I Acc USD
(Not available for subscription)",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B0169N27,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Stewart%20Investors/Global%20Em%20Mkts%20Leaders%20USD,Yes,USD,10/10/19,-3.09,-8.95,-5.29,-1.08,-0.13,-0.39,9.92,3/2/06,IE00B0169N27,FSGLEML ID EQUITY,USD Acc  ,No,No,4,50%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,,Capital Appreciation,N/A,> 5 years,Closed,Daily,No,No,Not avaliable for subscription, 
"Stewart Investors Global EM Leaders SGD
(Not available for subscription)",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999002075,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Stewart%20Investors/Global%20EM%20Leaders%20SGD,Yes,SGD,10/9/19,-2.73,-7.06,-4.24,-1.94,-0.07,0.95,8.46,7/5/04,SG9999002075,FSIGEMS SP EQUITY,"SGD Acc , SGD Acc  ",No,No,4,50%,Yes,"Retail
(Authorized)",SFC Unauthorized,No,Yes,Yes,,Capital Appreciation,N/A,> 5 years,Closed,Daily,No,Yes,Not avaliable for subscription, 
Fidelity Funds - Emerging Markets A-USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0261950470,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Fidelity/Fidelity%20Emerging%20Markets%20Fund,No,USD,10/10/19,-1.19,-3.53,14.58,14.22,6.52,3.9,14.95,9/25/2006,LU0261950470,FIEMAAU LX Equity,"USD Dis (Ann) , USD Dis (Ann) , USD Acc , SGD Dis (Ann) , SGD Dis (Ann)",No,No,4,35%,Yes,"Retail
(Recognized)",SFC Authorized,No,Yes,Yes,5.25%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Vontobel Fund Emerging Markets Equity B USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0040507039,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Vontobel/Emerging%20Market%20Equity%20Fund,No,USD,10/9/19,-3.25,-6.47,8.05,10.69,3.06,1.78,13.58,11/3/92,LU0040507039,VONEMBI LX EQUITY,"USD Acc , USD Dis (Ann) , EUR Acc  (H)",No,No,4,45%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,8.75%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - Latin America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
BGF Latin American A2 USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0072463663,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20Latin%20America%20Fund,No,USD,10/10/19,-2.27,-12.11,2.74,0.12,4.87,-1.52,23.37,8/1/97,LU0072463663,MERLTAI LX EQUITY,"USD Acc , EUR Acc , EUR Dis (Ann) , GBP Acc , GBP Dis (Ann) , PLN Acc  (H) , SGD Acc  (H) , CHF Acc  (H)",No,No,4,45%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Schroder ISF Latin American A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0106259046,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Schroder/ISF%20Latin%20America%20Fund,No,USD,10/10/19,-1.2,-10.36,5.78,0.85,5.34,-2.29,22.23,1/17/2000,LU0106259046,SCHLAAA LX EQUITY ,"USD Acc , USD Dis (Ann) , EUR Acc , SGD Acc  ",No,No,4,45%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Baring Russia A USD Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0073418229,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Barings/Baring%20Russia%20Fund,Yes,USD,10/9/19,-3.22,-5.83,20.39,12.98,8.12,7.06,17.15,3/21/1997,LU0073418229,BNRIRUS LX EQUITY,"USD Acc , USD Dis (Ann) , GBP Dis (Ann)",No,No,4,0%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,6.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - Middle East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Schroder ISF Middle East A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0314587907,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Schroder/ISF%20Middle%20East%20Equity%20Fund,No,USD,10/10/19,-3.25,-4.74,8.1,8.81,4.16,-2.72,10.27,9/3/07,LU0314587907,SISMEAA LX EQUITY,"USD Acc , EUR Acc , SGD Acc  ",No,No,4,45%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
JPM Emerging Middle East Equity A Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0210535208,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/JP%20Morgan/JP%20Morgan%20Emerging%20Middle%20East%20Equity%20Fund,No,USD,10/10/19,-1.81,-9.9,3.93,7.71,8.75,-1.11,11.58,3/31/2005,LU0210535208,JPMEAAU LX EQUITY,"USD Acc , USD Dis (Ann)",No,No,4,0%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - Sector/Themes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Equity - Precious Metals ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
BGF World Mining A2 USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0075056555,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20World%20Mining%20Fund,No,USD,10/10/19,-3.5,-8.76,4.65,-1.58,6.88,-1.99,20.54,3/21/1997,LU0075056555,MIGWMFA LX EQUITY,"USD Acc , EUR Dis (Ann) , EUR Acc , EUR Acc  (H) , GBP Dis (Ann) , CHF Acc  (H) , PLN Acc  (H) , SGD Acc  (H)",No,No,4,50%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
BGF World Gold A2RF USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0055631609,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20World%20Gold%20Fund,No,USD,10/10/19,-0.59,3.53,29.06,36.9,1.62,3.61,22.55,12/30/1994,LU0055631609,MIGGMFI LX EQUITY,"USD Acc , EUR Dis (Ann) , EUR Acc , EUR Acc  (H) , CHF Acc  (H) , SGD Acc  (H)",No,No,4,50%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
BGF World Energy A2 USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0122376428,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20World%20Energy%20Fund,No,USD,10/10/19,-4.01,-9.65,2.38,-21.22,-5.17,-8.21,20.12,4/6/01,LU0122376428,MERENER LX EQUITY,"USD Acc , EUR Dis (Ann)(H) , EUR Acc  (H) , EUR Acc , GBP Dis (Ann) , SGD Acc  (H)",No,No,4,50%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - Alternative Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
BGF Sustainable Energy A2 USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0124384867,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20New%20Energy%20Fund,No,USD,10/10/19,-2.77,-1.77,15.23,10.26,6.01,4.78,13.16,4/6/01,LU0124384867,MERNEWA LX EQUITY,"USD Acc , EUR Acc , EUR Dis (Ann) , GBP Dis (Ann)",No,No,4,50%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
"Pictet - Water-P USD
(subject to quota availability, please check before placing orders)",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0255980327,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Pictet/Water,No,USD,10/10/19,-0.56,-1.4,19.35,12.1,8.9,7.55,11.35,5/26/2006,LU0255980327,PICWATP LX EQUITY,"USD Acc , USD Acc  (H) , EUR Acc , EUR Dis (Ann) , CHF Acc  (H) , GBP Dis (Ann)",No,No,4,55%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,"Daily, but subject to quota availability, please check before placing orders.",Daily,No,No,, 
Equity - Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
"Pictet - Security -P USD
(subject to quota availability, please check before placing orders)",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0256846139,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Pictet/Security,No,USD,10/10/19,-0.87,-1.91,20.28,9.83,10.45,9.96,13.4,10/31/2006,LU0256846139,PSECUSP LX EQUITY,"USD Acc , EUR Acc , EUR Acc (H) , CHF Acc  (H) , USD Dis (Ann), GBP Dis (Ann)",No,No,4,60%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,"Daily, but subject to quota availability, please check before placing orders.",Daily,No,No,, 
Equity - Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Janus Henderson HF Global Technology A2 USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0070992663,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Janus%20Henderson,No,USD,10/10/19,-1.16,-2.71,23.2,10.41,17.25,14.53,15.72,10/15/1996,LU0070992663,HENGLTI LX EQUITY,"USD Acc , USD Dis (Ann) , SGD Acc , SGD Acc  (H) , GBP Acc , EUR Acc  ",No,No,4,60%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,20% performance fee applicable but this is waived with effect from 1 December 2018 until further notice., 
Polar Capital Global Technology Fund,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B433M743,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Polar%20Capital/Polar%20Capital%20Global%20Technology%20Fund,No,USD,10/9/19,-1.62,-3.5,22.61,14.97,21.31,19.1,16.91,9/4/09,IE00B433M743,POLGTRU ID Equity,"USD Dis , EUR Acc (H) , EUR Dis  (H) ,  EUR Dis , GBP Dis",No,No,4,50%,Yes,Restricted,SFC Unauthorized,No,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,10% performance fee applicable,
"Pictet - Robotics-P USD
(USD10mio available on first-come-first serve till end 2019)
(subject to quota availability, please check before placing orders)",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU1279333675,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Pictet/Robotics,No,USD,10/10/19,-0.56,-1.24,22.14,15.06,15.33,N/A,17.82,10/7/15,LU1279333675,PIRPUSD LX EQUITY,"USD Acc , EUR Acc , USD Dis (Ann) , EUR Dis (Ann) , EUR Acc  (H) , CHF Acc  (H)",No,No,4,60%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - Automation & Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Polar Capital Automation & Artificial Intelligence Fund,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00BF0GL105,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Polar%20Capital/Polar%20Capital%20Automation%20and%20AI%20Fund,No,USD,10/9/19,-1.7,-1.26,19.98,10.23,N/A,N/A,N/A,9/29/2017,IE00BF0GL105,PLAIRUA ID Equity,"USD Acc , EUR Acc",No,No,4,55%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,10% performance fee applicable,
Equity - Health Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
