Funds,Factsheet / Offering Material (via Fundinfo),Fund Specific Materials (via Intranet),Fund Watch List,Base Ccy,Last Bloomberg Update,Latest NAV,1 Mth Return (%),3 Mths Return (%),YTD Return (%),1 Yr Return (%),3 Yr Ann Return (%),5 Yr Ann Return (%),3 Yr Ann Std Dev (%),Inception Date,ISIN (base ccy),BB Ticker (base ccy),Other share classes available,Use of Derivatives (as a principal driver),Is this a High Yield Bond Fund (Yes/No),Risk Rating,AR*,SG MAS Registered,SG Restricted,HK SFC Authorization,UK Registered,Offering In DIFC Allowed?*,UCITS,Fund House Max Sales ChargeBOS Fee Schedule applies - Min USD375 Max up to 2% upfront fee,Investment Objective,Investment Tenor,Investment Time Horizon,Dealing Frequency (Subscription)Refer to Funds Identifier tab for Notice Period,Dealing Frequency (Redemption)Refer to Funds Identifier tab for Notice Period,Loss Absorption Product,Complex Product,Remarks,Extra Remarks,,,,
Aberdeen Standard - Asian Smaller Comp A2 Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0231459107,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Aberdeen/Aberdeen%20Global%20Asian%20Smaller%20Companies%20Fund,Yes,USD,08-Nov-2019,46.62 ,3.99 ,5.46 ,13.02 ,13.54 ,5.60 ,0.10 ,11.27 ,5/17/2004,LU0231459107,AGASMA2 LX EQUITY,"USD Acc , GBP Acc , EUR Acc , SGD Acc , USD Acc , USD Acc  ",No,No,4,50%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,6.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Schroder ISF Asian Smaller Companies A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0227179875,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Schroder/ISF%20Asian%20Smaller%20Companies%20Fund,No,USD,08-Nov-2019,221.60 ,4.08 ,6.94 ,6.65 ,8.61 ,(0.25),(0.50),12.67 ,9/16/2005,LU0227179875,SCHASAA LX EQUITY,USD Acc  ,No,No,4,0%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - Asia ex Japan Dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schroder ISF Asian Equity Yield A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0188438112,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Schroder/ISF%20Asian%20Equity%20Yield,No,USD,08-Nov-2019,31.59 ,4.78 ,5.93 ,13.47 ,10.69 ,8.41 ,3.99 ,11.68 ,6/11/2004,LU0188438112,SCHAEYA LX EQUITY,"USD Acc , USD Dis  (Mth) , EUR Acc , SGD Dis  (Mth) , SGD Dis  (Mth) ",No,No,4,65%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
First State Asian Equity Plus I,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B067MR52,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/First%20State/First%20State%20Asian%20Equity%20Plus,No,USD,09-Nov-2019,81.38 ,6.97 ,9.99 ,16.81 ,17.96 ,13.90 ,8.44 ,11.48 ,2/25/2005,IE00B067MR52,FSTAEPA ID EQUITY,"USD Acc , USD Dis (Semi-Ann) , SGD Dis  (Qter) , SGD Dis  (Qter) ",No,No,4,55%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - ASEAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fidelity Funds - ASEAN A-USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0048573645,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Fidelity/Fidelity%20ASEAN%20Fund,No,USD,08-Nov-2019,34.56 ,2.80 ,1.44 ,10.09 ,12.30 ,8.74 ,1.72 ,11.44 ,10/1/1990,LU0048573645,FIDLAEI LX EQUITY,"USD Dis (Ann) , SGD Dis (Ann) , SGD Dis (Ann)",No,No,4,50%,Yes,"Retail
(Recognized)",SFC Authorized,No,Yes,Yes,5.25%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - China (Non-A Share),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baring Hong Kong China A USD Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B7JY6H00,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Barings/Baring%20Hong%20Kong%20China%20Fund,No,USD,08-Nov-2019,1245.92 ,6.02 ,11.95 ,20.11 ,18.79 ,11.74 ,6.59 ,17.93 ,4/2/2012,IE00B7JY6H00,BHKCAUA ID Equity,"USD Dis (Ann) , USD Acc , EUR Dis (Ann) , GBP Dis (Ann) , HKD Dis (Ann)",No,No,4,40%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,6.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
First State China Growth I Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE0008368742,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/First%20State/First%20State%20China%20Growth%20Fund,No,USD,09-Nov-2019,185.69 ,6.73 ,12.53 ,26.39 ,21.24 ,17.41 ,8.59 ,17.18 ,8/17/1999,IE0008368742,CRECHOI ID EQUITY,USD Acc  ,No,No,4,50%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
UBS (Lux) Equity Fund - China Opportunity,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0067412154,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/UBS/UBS%20(Lux)%20Investment%20SICAV%20-%20China%20A%20Opportunity,No,USD,08-Nov-2019,1590.21 ,6.84 ,14.22 ,37.29 ,31.99 ,21.46 ,15.02 ,18.39 ,11/15/1996,LU0067412154,SBCEHKI LX EQUITY,"USD Acc , USD Dis  (Mth) , AUD Acc  (H) , AUD Dis  (Mth) (H) , HKD Acc , HKD Dis  (Mth) , CNH Acc  (H) , SGD Acc  ",No,No,4,55%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,3.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - China A Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPMorgan China Pioneer A Share Fund,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=HK0000055621,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/JP%20Morgan/JP%20Morgan%20China%20Pioneer%20A%20Share%20Fund,No,USD,08-Nov-2019,48.08 ,4.68 ,15.91 ,47.91 ,41.45 ,13.65 ,13.69 ,20.33 ,6/19/2006,HK0000055621,JFCHPNA HK EQUITY,USD Acc  ,No,No,4,35%,Yes,Restricted,SFC Authorized,No,Yes,No,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,No trailers are paid,,,,,
Schroder China Equity Alpha Fund A Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=HK0000138559,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Schroder/China%20Equity%20Alpha%20Fund,No,USD,08-Nov-2019,214.97 ,3.24 ,11.04 ,31.67 ,25.48 ,9.88 ,15.21 ,18.70 ,3/8/2013,HK0000138559,SCCHEAA HK EQUITY,"USD Acc , HKD Acc  ",No,No,4,50%,Yes,Restricted,SFC Authorized,No,Yes,No,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
UBS (Lux) Investment SICAV - China A Opportunity (USD) - P-acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0971614614,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/UBS/UBS%20(Lux)%20Investment%20SICAV%20-%20China%20A%20Opportunity,No,USD,08-Nov-2019,304.78 ,7.00 ,16.46 ,56.18 ,49.26 ,27.34 ,24.81 ,22.09 ,11/29/2013,LU0971614614,UBCAPA2 LX EQUITY,No,No,No,4,45%,Yes,Restricted,SFC Unauthorized,No,Yes,No,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - Greater China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invesco Greater China Equity A Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0048816135,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Invesco/Invesco%20Greater%20China%20Equity%20Fund,No,USD,08-Nov-2019,66.76 ,5.42 ,10.18 ,19.38 ,14.24 ,12.05 ,7.19 ,15.52 ,7/15/1992,LU0048816135,INVPGCI LX EQUITY,"USD Acc , EUR Acc  (H) , EUR Dis (Ann)(H) , EUR Dis (Ann) , AUD Acc  (H) , NZD Acc  (H) , CHF Acc  (H)",No,No,4,0%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen Standard - Indian Equity A2 Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0231490524,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Aberdeen/Aberdeen%20Global%20-%20Indian%20Equity%20Fund,Yes,USD,08-Nov-2019,161.97 ,4.46 ,4.24 ,4.97 ,12.55 ,9.31 ,4.78 ,16.46 ,11/15/1996,LU0231490524,AGINDA2 LX EQUITY,"USD Acc , GBP Acc , EUR Acc , SGD Acc  ",No,No,4,50%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,6.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Goldman Sachs India Equity Pf Base Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0333810181,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Goldman%20Sachs/Goldman%20Sachs%20India%20Equity%20Fund,No,USD,08-Nov-2019,20.53 ,3.84 ,7.32 ,4.27 ,10.73 ,7.38 ,5.24 ,17.52 ,3/26/2008,LU0333810181,GSINDAA LX Equity,"USD Acc , USD Dis (Ann) , GBP Dis (Ann)",No,No,4,50%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.50%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Kotak Funds � India Midcap Class A,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0511423146,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Kotak/Kotak%20India%20Midcap,No,USD,09-Nov-2019,20.40 ,5.42 ,6.98 ,(0.09),6.76 ,4.85 ,6.19 ,18.46 ,5/25/2010,LU0511423146,KOTIMAU LX Equity,USD Acc,No,No,4,40%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schroder ISF Taiwanese Equity A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0270814014,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Schroder/ISF%20Taiwanese%20Equity%20Fund,No,USD,08-Nov-2019,23.65 ,7.00 ,11.79 ,25.31 ,26.21 ,12.50 ,9.08 ,13.64 ,1/18/2008,LU0270814014,SCHTWAA LX EQUITY,"USD Acc , USD Dis (Ann)",No,No,4,0%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen Standard Thailand Equity Fund SGD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999000483,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Aberdeen/Aberdeen%20Thailand%20Equity%20Fund,Yes,SGD,08-Nov-2019,12.47 ,1.14 ,(2.99),10.44 ,4.36 ,7.28 ,2.90 ,11.47 ,12/8/1997,SG9999000483,ABTHAII SP Equity,"USD Acc , SGD Acc  ",No,No,4,0%,Yes,"Retail
(Authorized)",SFC Unauthorized,No,Yes,No,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,Yes,,,,,,
Equity - Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LionGlobal Singapore Dividend Equity SGD Class,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999013460,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Lion/LionGlobal%20Singapore%20Dividend%20Equity%20Fund,No,SGD,08-Nov-2019,1.02 ,4.39 ,3.84 ,13.65 ,11.54 ,9.59 ,N/A,13.08 ,6/2/2015,SG9999013460,LNWSSGD SP EQUITY,"SGD Dis  (Qter) , SGD Dis  (Qter) , USD Dis  (Qter) , USD Dis  (Qter) , USD Dis  (Qter) (H) , USD Dis  (Qter) (H)",No,No,3,60%,Yes,"Retail
(Authorized)",SFC Unauthorized,No,Yes,No,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,Yes,,,,,,
Equity - Emerging Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equity - BRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schroder ISF BRIC A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0228659784,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Schroder/ISF%20BRIC%20Fund,No,USD,08-Nov-2019,264.12 ,4.03 ,6.71 ,20.76 ,19.16 ,15.56 ,7.56 ,15.47 ,10/31/2005,LU0228659784,SCHBRAA LX EQUITY,"USD Acc , EUR Acc , SGD Acc  ",No,No,4,50%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity Global Emerging Markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stewart Investors Global Em Mkts Leaders I Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B0169N27,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Stewart%20Investors/Global%20Em%20Mkts%20Leaders%20USD,Yes,USD,09-Nov-2019,24.54 ,2.63 ,0.12 ,(2.39),(0.69),2.94 ,(0.01),9.91 ,2/28/2006,IE00B0169N27,FSGLEML ID EQUITY,USD Acc  ,No,No,4,50%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,,Capital Appreciation,N/A,> 5 years,Closed,Daily,No,No,Not avaliable for subscription,(Not available for subscription),,,,
Stewart Investors Global EM Leaders SGD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999002075,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Stewart%20Investors/Global%20EM%20Leaders%20SGD,Yes,SGD,08-Nov-2019,2.77 ,1.30 ,(0.88),(1.79),(1.97),1.81 ,0.80 ,8.41 ,7/5/2004,SG9999002075,FSIGEMS SP EQUITY,"SGD Acc , SGD Acc  ",No,No,4,50%,Yes,"Retail
(Authorized)",SFC Unauthorized,No,Yes,Yes,,Capital Appreciation,N/A,> 5 years,Closed,Daily,No,Yes,Not avaliable for subscription,(Not available for subscription),,,,
Fidelity Funds - Emerging Markets A-USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0261950470,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Fidelity/Fidelity%20Emerging%20Markets%20Fund,No,USD,08-Nov-2019,19.42 ,4.52 ,9.16 ,21.53 ,21.30 ,11.13 ,4.24 ,15.02 ,9/25/2006,LU0261950470,FIEMAAU LX Equity,"USD Dis (Ann) , USD Dis (Ann) , USD Acc , SGD Dis (Ann) , SGD Dis (Ann)",No,No,4,35%,Yes,"Retail
(Recognized)",SFC Authorized,No,Yes,Yes,5.25%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Vontobel Fund Emerging Markets Equity B USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0040507039,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Vontobel/Emerging%20Market%20Equity%20Fund,No,USD,07-Nov-2019,806.14 ,3.42 ,2.51 ,12.94 ,14.84 ,7.78 ,2.06 ,13.45 ,11/3/1992,LU0040507039,VONEMBI LX EQUITY,"USD Acc , USD Dis (Ann) , EUR Acc  (H)",No,No,4,45%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,8.75%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - Latin America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGF Latin American A2 USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0072463663,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20Latin%20America%20Fund,No,USD,08-Nov-2019,71.91 ,2.38 ,(2.16),7.49 ,7.70 ,10.75 ,0.82 ,23.08 ,8/1/1997,LU0072463663,MERLTAI LX EQUITY,"USD Acc , EUR Acc , EUR Dis (Ann) , GBP Acc , GBP Dis (Ann) , PLN Acc  (H) , SGD Acc  (H) , CHF Acc  (H)",No,No,4,45%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Schroder ISF Latin American A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0106259046,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Schroder/ISF%20Latin%20America%20Fund,No,USD,08-Nov-2019,40.59 ,4.10 ,(0.26),11.46 ,8.20 ,10.76 ,0.38 ,21.85 ,1/17/2000,LU0106259046,SCHLAAA LX EQUITY ,"USD Acc , USD Dis (Ann) , EUR Acc , SGD Acc  ",No,No,4,45%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baring Russia A USD Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0073418229,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Barings/Baring%20Russia%20Fund,Yes,USD,16-Oct-2019,65.97 ,N/A,N/A,21.63 ,N/A,N/A,N/A,N/A,3/21/1997,LU0073418229,BNRIRUS LX EQUITY,"USD Acc , USD Dis (Ann) , GBP Dis (Ann)",No,No,4,0%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,6.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - Middle East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schroder ISF Middle East A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0314587907,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Schroder/ISF%20Middle%20East%20Equity%20Fund,No,USD,08-Nov-2019,12.23 ,0.62 ,(3.49),9.47 ,6.44 ,4.90 ,(2.11),10.29 ,9/3/2007,LU0314587907,SISMEAA LX EQUITY,"USD Acc , EUR Acc , SGD Acc  ",No,No,4,45%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
JPM Emerging Middle East Equity A Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0210535208,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/JP%20Morgan/JP%20Morgan%20Emerging%20Middle%20East%20Equity%20Fund,No,USD,07-Nov-2019,19.72 ,0.82 ,(6.81),4.78 ,5.45 ,8.82 ,(0.65),11.75 ,3/31/2005,LU0210535208,JPMEAAU LX EQUITY,"USD Acc , USD Dis (Ann)",No,No,4,0%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - Sector/Themes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equity - Precious Metals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGF World Mining A2 USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0075056555,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20World%20Mining%20Fund,No,USD,08-Nov-2019,37.10 ,2.20 ,1.12 ,9.28 ,5.79 ,5.89 ,(0.39),20.52 ,3/21/1997,LU0075056555,MIGWMFA LX EQUITY,"USD Acc , EUR Dis (Ann) , EUR Acc , EUR Acc  (H) , GBP Dis (Ann) , CHF Acc  (H) , PLN Acc  (H) , SGD Acc  (H)",No,No,4,50%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
BGF World Gold A2RF USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0055631609,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20World%20Gold%20Fund,No,USD,08-Nov-2019,30.37 ,(5.27),(11.87),21.58 ,31.19 ,1.11 ,4.46 ,21.80 ,12/30/1994,LU0055631609,MIGGMFI LX EQUITY,"USD Acc , EUR Dis (Ann) , EUR Acc , EUR Acc  (H) , CHF Acc  (H) , SGD Acc  (H)",No,No,4,50%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGF World Energy A2 USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0122376428,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20World%20Energy%20Fund,No,USD,08-Nov-2019,15.97 ,4.31 ,6.32 ,8.49 ,(5.61),(1.93),(7.29),20.12 ,4/6/2001,LU0122376428,MERENER LX EQUITY,"USD Acc , EUR Dis (Ann)(H) , EUR Acc  (H) , EUR Acc , GBP Dis (Ann) , SGD Acc  (H)",No,No,4,50%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - Alternative Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGF Sustainable Energy A2 USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0124384867,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20New%20Energy%20Fund,No,USD,08-Nov-2019,10.06 ,4.03 ,7.94 ,22.53 ,16.98 ,10.14 ,4.66 ,13.00 ,4/6/2001,LU0124384867,MERNEWA LX EQUITY,"USD Acc , EUR Acc , EUR Dis (Ann) , GBP Dis (Ann)",No,No,4,50%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pictet - Water-P USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0255980327,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Pictet/Water,No,USD,08-Nov-2019,391.55 ,2.40 ,4.99 ,25.03 ,17.96 ,11.10 ,7.18 ,11.04 ,5/26/2006,LU0255980327,PICWATP LX EQUITY,"USD Acc , USD Acc  (H) , EUR Acc , EUR Dis (Ann) , CHF Acc  (H) , GBP Dis (Ann)",No,No,4,55%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,"Daily, but subject to quota availability, please check before placing orders.",Daily,No,No,,"(subject to quota availability, please check before placing orders)",,,,
